Ayurvedic_Diagnosis,Near_Correlated_English_Equivalent,Category,Sub_Category,Symptom_P1,Symptom_P2,Remarks 
PITTA JWARA,PITTA FEVER  ,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
SANNIPATA JWARA (BABHRU)-1,SANNIPATA FEVER (BABHRU)-1,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
KAAM JWARA,FEVER DUE TO INTENSE EMOTION ,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Vishamjanya Jwara,Fever Due to Poison,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
AMA JWARA,TOXIC FEVER,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Miscellaneous,Unnatural Fatigue,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,General Systemic Symptoms,Whole-Body Symptoms,LOSS OF WEIGHT,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,General Systemic Symptoms,Speech and Voice Disorders,LOSS OF VOICE,,
Purvarupa JWARA ,PRODROMAL FEVER ,Head & Face,FACE,Loss of Facial Complexion,,
Vata Jwara,Vata Fever,Digestive System,ERUCTATION,Loss of eructation,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Loss of Courage,,
MAMSA DHATUGATA JWARA,FEVER IN MUSCLES ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Loss of Courage,,
MEDA DHATUGATA JWARA,FEVER IN FAT  ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Loss of Courage,,
RASA DHATUGATA JWARA,FEVER IN DIGESTIVE JUICE,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,LOSS OF CONCENTRATION,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Miscellaneous,Loss of bodily freshness or vitality,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
PITTA JWARA,PITTA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
KAPHA JWARA,KAPHA FEVER ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
RASA DHATUGATA JWARA,FEVER IN DIGESTIVE JUICE,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
MEDA DHATUGATA JWARA,FEVER IN FAT  ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
VATA PITTA JWARA,VATA PITTA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
KAPHA PITTA JWARA,KAPHA PITTA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
SANNIPATA JWARA (BABHRU)-1,SANNIPATA FEVER (BABHRU)-1,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
SANNIPATA JWARA (SHEEGARKARI)-2,SANNIPATA FEVER (SHEEGARKARI)-2,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
SANNIPATA JWARA (KAMPAN)-6,SANNIPATA FEVER (KAMPAN)-6,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Sannipata Jwara (Vadarik)-7,Sannipata Fever (Vadarik)-7 ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
SANNIPATA JWARA (YAMYA)-8,SANNIPATA FEVER (YAMYA)-8,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
SANNIPATA JWARA (KRAKACH)-9,SANNIPATA FEVER (KRAKACH)-9,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
SANNIPATA JWARA (PAKAL)-12 ,SANNIPATA FEVER (PAKAL)-12,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
KAAM JWARA,FEVER DUE TO INTENSE EMOTION ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
AMA JWARA,TOXIC FEVER,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
NIRAMA JWARA,NON-TOXIC FEVER,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Appetite & Thirst Disorders,LOSS OF APPETITE,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Miscellaneous,Localized Instability Due to Pyrexia,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Miscellaneous,LAZINESS,,
SANNIPATA JWARA (KAMPAN)-6,SANNIPATA FEVER (KAMPAN)-6,General Systemic Symptoms,Miscellaneous,LAZINESS,,
Sannipata Jwara (Vadarik)-7,Sannipata Fever (Vadarik)-7 ,General Systemic Symptoms,Miscellaneous,LAZINESS,,
KAAM JWARA,FEVER DUE TO INTENSE EMOTION ,General Systemic Symptoms,Miscellaneous,LAZINESS,,
AMA JWARA,TOXIC FEVER,General Systemic Symptoms,Miscellaneous,LAZINESS,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Miscellaneous,LAZINESS,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Miscellaneous,LAZINESS,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Miscellaneous,Fatigue,,
Vata Jwara,Vata Fever,Head & Face,JAWS,Jaw Dysfunction,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Behavioural Abnormalities,Irrelevant or incoherent speech,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Behavioural Abnormalities,Irrelevant or incoherent speech,,
Purvarupa JWARA ,PRODROMAL FEVER ,Head & Face,EYES,Involuntary eye movements,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Sleep disorders,INSOMNIA,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Sleep disorders,INSOMNIA,,
VATA PITTA JWARA,VATA PITTA FEVER  ,General Systemic Symptoms,Sleep disorders,INSOMNIA,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,General Systemic Symptoms,Sleep disorders,INSOMNIA,,
KAAM JWARA,FEVER DUE TO INTENSE EMOTION ,General Systemic Symptoms,Sleep disorders,INSOMNIA,,
Vata Jwara,Vata Fever,Head & Face,TOUNGE,Insipid Taste,,
Purvarupa JWARA ,PRODROMAL FEVER ,Head & Face,TOUNGE,Insipid Taste,,
AMA JWARA,TOXIC FEVER,Head & Face,TOUNGE,Insipid Taste,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Urogenital & Pelvic System,ANUS,INFLAMMATION,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Head & Face,EARS,INFLAMMATION,,
Sannipata Jwara,SANNIPATA FEVER  ,Head & Face,EARS,INFLAMMATION,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,Head & Face,EARS,INFLAMMATION,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Head & Face,EYES,INFLAMMATION,,
PITTA JWARA,PITTA FEVER  ,Head & Face,LIPS,INFLAMMATION,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Head & Face,LIPS,INFLAMMATION,,
PITTA JWARA,PITTA FEVER  ,Head & Face,MOUTH,INFLAMMATION,,
SANNIPATA JWARA (ASHUKARI)-5,SANNIPATA FEVER (ASHUKARI)-5,Head & Face,MOUTH,INFLAMMATION,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Head & Face,MOUTH,INFLAMMATION,,
Sannipata Jwara,SANNIPATA FEVER  ,Head & Face,MOUTH,INFLAMMATION,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,Head & Face,MOUTH,INFLAMMATION,,
PITTA JWARA,PITTA FEVER  ,Head & Face,NASAL PASSAGE,INFLAMMATION,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Head & Face,NASAL PASSAGE,INFLAMMATION,,
Sannipata Jwara,SANNIPATA FEVER  ,Head & Face,NOSE TIP,INFLAMMATION,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,Head & Face,NOSE TIP,INFLAMMATION,,
Vata Jwara,Vata Fever,Head & Face,PALATE,INFLAMMATION,,
PITTA JWARA,PITTA FEVER  ,Head & Face,PALATE,INFLAMMATION,,
PITTA JWARA,PITTA FEVER  ,Neck & Throat,THROAT,INFLAMMATION,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Urogenital & Pelvic System,URETHRA,INFLAMMATION,,
Vata Jwara,Vata Fever,Digestive System,Digestive Disorders,INDIGESTION,,
KAPHA JWARA,KAPHA FEVER ,Digestive System,Digestive Disorders,INDIGESTION,,
Purvarupa JWARA ,PRODROMAL FEVER ,Digestive System,Digestive Disorders,INDIGESTION,,
Sannipata Jwara (Vadarik)-7,Sannipata Fever (Vadarik)-7 ,Digestive System,Digestive Disorders,INDIGESTION,,
SANNIPATA JWARA (PAKAL)-12 ,SANNIPATA FEVER (PAKAL)-12,Digestive System,Digestive Disorders,INDIGESTION,,
AMA JWARA,TOXIC FEVER,Digestive System,Digestive Disorders,INDIGESTION,,
Purvarupa JWARA ,PRODROMAL FEVER ,Head & Face,EYES,Increased sensitivity to sunlight or bright light,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Behavioural Abnormalities,Impulsive behavior or Poor judgment,,
SHUKRA DHATUGATA JWARA,FEVER IN SEMEN  ,General Systemic Symptoms,Body Temperature Disturbances,PYREXIA,,
SHUKRA DHATUGATA JWARA,FEVER IN SEMEN  ,General Systemic Symptoms,Infertility and Reproductive Dysfunctions,Erectile Dysfunction,,
Vata Jwara,Vata Fever,LOWER BODY,Delusions,Illusory Feeling that Knee is Out of Place,,
KAPHA JWARA,KAPHA FEVER ,General Systemic Symptoms,Sleep disorders,HYPERSOMNIA,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Sleep disorders,HYPERSOMNIA,,
SANNIPATA JWARA (KAMPAN)-6,SANNIPATA FEVER (KAMPAN)-6,General Systemic Symptoms,Sleep disorders,HYPERSOMNIA,,
SANNIPATA JWARA (KARKAT)-10,SANNIPATA FEVER (KARKAT)-10,General Systemic Symptoms,Sleep disorders,HYPERSOMNIA,,
AMA JWARA,TOXIC FEVER,Body Waste & Excretions,Oral Secretions,HYPERSALIVATION,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Whole-Body Symptoms,HORRIPILATION,,
VATA PITTA JWARA,VATA PITTA FEVER  ,General Systemic Symptoms,Whole-Body Symptoms,HORRIPILATION,,
SANNIPATA JWARA (KARKAT)-10,SANNIPATA FEVER (KARKAT)-10,Neck & Throat,THROAT,Hiccups Increasing in Frequency Daily,,
MAJJA DHATUGATA JWARA,FEVER IN BONE MARROW,Neck & Throat,THROAT,HICCUPS,,
KAPHA JWARA,KAPHA FEVER ,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
RASA DHATUGATA JWARA,FEVER IN DIGESTIVE JUICE,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
VATA KAPHA JWARA,VATA KAPHA FEVER  ,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
SANNIPATA JWARA (BABHRU)-1,SANNIPATA FEVER (BABHRU)-1,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
SANNIPATA JWARA (VISFARAK)-4 ,SANNIPATA FEVER (VISFARAK)-4,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
SANNIPATA JWARA (KARKAT)-10,SANNIPATA FEVER (KARKAT)-10,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
AMA JWARA,TOXIC FEVER,General Systemic Symptoms,Whole-Body Symptoms,HEAVINESS,,
AMA JWARA,TOXIC FEVER,ABDOMINAL REGION,GENERAL ABDOMEN,HEAVINESS,,
Sannipata Jwara,SANNIPATA FEVER  ,ABDOMINAL REGION,GENERAL ABDOMEN,HEAVINESS,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,ABDOMINAL REGION,GENERAL ABDOMEN,HEAVINESS,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,General Systemic Symptoms,Behavioural Abnormalities,"Hears non-existent voices, sounds, or music",,
MAJJA DHATUGATA JWARA,FEVER IN BONE MARROW,General Systemic Symptoms,Whole-Body Symptoms,Generalized Cold Body Sensation,,
KAPHA JWARA,KAPHA FEVER ,Skin & External Features,Cutaneous symptoms,Furunculosis ,,
RAKTA DHATUGATA JWARA,FEVER IN BLOOD  ,Skin & External Features,Cutaneous symptoms,Furunculosis ,,
KAPHA PITTA JWARA,KAPHA PITTA FEVER  ,General Systemic Symptoms,Whole-Body Symptoms,Frequent sensations of body heat,,
MAMSA DHATUGATA JWARA,FEVER IN MUSCLES ,General Systemic Symptoms,Whole-Body Symptoms,FOUL SMELL,,
AMA JWARA,TOXIC FEVER,Body Waste & Excretions,STOOL,FOUL SMELL,,
ANTARIKVEG JWARA,INTERNAL FEVER,LOWER BODY,LEGS,Foolish or Aimless Leg Movements,,
ANTARIKVEG JWARA,INTERNAL FEVER,ARMS & HANDS,ARMS,Foolish or Aimless Arm Movements,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Body Temperature Disturbances,Fever tends to worsen during the rainy season,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Body Temperature Disturbances,Fever tends to rise in the evening,,
Vata Jwara,Vata Fever,Head & Face,HEAD,Fever Remission Symptoms in Head,,
Vata Jwara,Vata Fever,LOWER BODY,FEET,Fever Remission Symptoms in Feet,,
Vata Jwara,Vata Fever,Head & Face,HEAD,Fever Onset Symptoms in Head,,
Vata Jwara,Vata Fever,LOWER BODY,FEET,Fever Onset Symptoms in Feet,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Body Temperature Disturbances,Fever occurs at the end of the day/ worsens if already present,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Body Temperature Disturbances,Fever occurs at irregular intervals,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Body Temperature Disturbances,Fever occurs after digestion/ worsens if already present,,
ABHIGHATAJ JWARA,TRAUMATIC FEVER  ,General Systemic Symptoms,Body Temperature Disturbances,PYREXIA,,Occurs following trauma or injury
Vata Jwara,Vata Fever,General Systemic Symptoms,Body Temperature Disturbances,Fever emerges or intensifies after night passes/ worsens if already present,,
Sannipata Jwara,SANNIPATA FEVER  ,Neck & Throat,Delusions,Feels like a thorn stuck in throat,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,Neck & Throat,Delusions,Feels like a thorn stuck in throat,,
KAPHA JWARA,KAPHA FEVER ,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,
VATA KAPHA JWARA,VATA KAPHA FEVER  ,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,
KAPHA PITTA JWARA,KAPHA PITTA FEVER  ,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,FREQUENT
SANNIPATA JWARA (SHEEGARKARI)-2,SANNIPATA FEVER (SHEEGARKARI)-2,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,
SANNIPATA JWARA (BHALLU)-3,SANNIPATA FEVER (BHALLU)-3,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,
SANNIPATA JWARA (KARKAT)-10,SANNIPATA FEVER (KARKAT)-10,General Systemic Symptoms,Body Temperature Disturbances,Cold sensation,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Persistent feelings of sadness,,
SANNIPATA JWARA (PAKAL)-12 ,SANNIPATA FEVER (PAKAL)-12,Head & Face,HEAD,Feeling of Film or Coating,,
KAPHA PITTA JWARA,KAPHA PITTA FEVER  ,Head & Face,MOUTH,Feeling of Film or Coating,,
SANNIPATA JWARA (BHALLU)-3,SANNIPATA FEVER (BHALLU)-3,General Systemic Symptoms,Miscellaneous,"Feeling cold outside, heat inside",,
AMA JWARA,TOXIC FEVER,General Systemic Symptoms,Miscellaneous,Fatigue,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,Neck & Throat,Delusions,False sensation of bristly particles (like grass awns) in the throat,,
Vata Jwara,Vata Fever,General Systemic Symptoms,JOINTS,False belief that joints are dislocated,,
PITTA JWARA,PITTA FEVER  ,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
MAMSA DHATUGATA JWARA,FEVER IN MUSCLES ,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
MEDA DHATUGATA JWARA,FEVER IN FAT  ,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
VATA PITTA JWARA,VATA PITTA FEVER  ,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
SANNIPATA JWARA (SHEEGARKARI)-2,SANNIPATA FEVER (SHEEGARKARI)-2,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
SANNIPATA JWARA (VISFARAK)-4 ,SANNIPATA FEVER (VISFARAK)-4,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
SANNIPATA JWARA (ASHUKARI)-5,SANNIPATA FEVER (ASHUKARI)-5,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
SANNIPATA JWARA (KRAKACH)-9,SANNIPATA FEVER (KRAKACH)-9,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
SANNIPATA JWARA (SAMMOHAK)-11,SANNIPATA FEVER (SAMMOHAK)-11,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
SANNIPATA JWARA (PAKAL)-12 ,SANNIPATA FEVER (PAKAL)-12,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
Vishamjanya Jwara,Fever Due to Poison,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Altered Level of Consciousness,FAINTING,,
RASA DHATUGATA JWARA,FEVER IN DIGESTIVE JUICE,General Systemic Symptoms,Body Temperature Disturbances,Hot sensation,,
KAAM JWARA,FEVER DUE TO INTENSE EMOTION ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Experiencing overwhelming or intense emotions,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
RASA DHATUGATA JWARA,FEVER IN DIGESTIVE JUICE,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
VATA PITTA JWARA,VATA PITTA FEVER  ,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
SANNIPATA JWARA (VISFARAK)-4 ,SANNIPATA FEVER (VISFARAK)-4,General Systemic Symptoms,Miscellaneous,Excessive Yawning,,
Vata Jwara,Vata Fever,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
PITTA JWARA,PITTA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
ANTARIKVEG JWARA,INTERNAL FEVER,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
VAHRIVEG JWARA,EXTERNAL FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
RASA DHATUGATA JWARA,FEVER IN DIGESTIVE JUICE,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
RAKTA DHATUGATA JWARA,FEVER IN BLOOD  ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
MAMSA DHATUGATA JWARA,FEVER IN MUSCLES ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
MEDA DHATUGATA JWARA,FEVER IN FAT  ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
VATA PITTA JWARA,VATA PITTA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
KAPHA PITTA JWARA,KAPHA PITTA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (BABHRU)-1,SANNIPATA FEVER (BABHRU)-1,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (SHEEGARKARI)-2,SANNIPATA FEVER (SHEEGARKARI)-2,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (BHALLU)-3,SANNIPATA FEVER (BHALLU)-3,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (VISFARAK)-4 ,SANNIPATA FEVER (VISFARAK)-4,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (ASHUKARI)-5,SANNIPATA FEVER (ASHUKARI)-5,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (YAMYA)-8,SANNIPATA FEVER (YAMYA)-8,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (PAKAL)-12 ,SANNIPATA FEVER (PAKAL)-12,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
PACHYAMANA JWARA,DIGESTIVE FEVER,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Appetite & Thirst Disorders,EXCESSIVE THIRST,,
RAKTA DHATUGATA JWARA,FEVER IN BLOOD  ,Body Waste & Excretions,Oral Secretions,Excessive Spitting Accompanied by Blood,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Whole-Body Symptoms,Emaciation,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Whole-Body Symptoms,Emaciation,,
PITTA JWARA,PITTA FEVER  ,General Systemic Symptoms,Body Temperature Disturbances,Elevated body temperature,,
VAHRIVEG JWARA,EXTERNAL FEVER  ,General Systemic Symptoms,Body Temperature Disturbances,PYREXIA,,
VAHRIVEG JWARA,EXTERNAL FEVER  ,General Systemic Symptoms,Body Temperature Disturbances,Elevated body temperature,,
KAAM JWARA,FEVER DUE TO INTENSE EMOTION ,General Systemic Symptoms,Cognitive and Emotional Dysfunctions,Irritable or short-tempered mood,,
KAPHA JWARA,KAPHA FEVER ,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
ANTARIKVEG JWARA,INTERNAL FEVER,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
VAHRIVEG JWARA,EXTERNAL FEVER  ,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
MAJJA DHATUGATA JWARA,FEVER IN BONE MARROW,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
SANNIPATA JWARA (BABHRU)-1,SANNIPATA FEVER (BABHRU)-1,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
SANNIPATA JWARA (SHEEGARKARI)-2,SANNIPATA FEVER (SHEEGARKARI)-2,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
SANNIPATA JWARA (VISFARAK)-4 ,SANNIPATA FEVER (VISFARAK)-4,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
SANNIPATA JWARA (KRAKACH)-9,SANNIPATA FEVER (KRAKACH)-9,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
SANNIPATA JWARA (SAMMOHAK)-11,SANNIPATA FEVER (SAMMOHAK)-11,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
SANNIPATA JWARA (PAKAL)-12 ,SANNIPATA FEVER (PAKAL)-12,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
SANNIPATA JWARA (KOOTPAKAL)-13,SANNIPATA FEVER (KOOTPAKAL)-13,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
PACHYAMANA JWARA,DIGESTIVE FEVER,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
Sannipata Jwara,SANNIPATA FEVER  ,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
Abhicharaj / Abhishapaj Jwara,Sorcery-Induced Fever,General Systemic Symptoms,Respiratory Symptoms,DYSPNOEA,,
Vata Jwara,Vata Fever,Head & Face,EYES,DRYNESS,,
Vata Jwara,Vata Fever,Head & Face,FACE,DRYNESS,,
Vata Jwara,Vata Fever,Head & Face,MOUTH,DRYNESS,,
VATA PITTA JWARA,VATA PITTA FEVER  ,Head & Face,MOUTH,DRYNESS,,
SANNIPATA JWARA (BABHRU)-1,SANNIPATA FEVER (BABHRU)-1,Head & Face,MOUTH,DRYNESS,,
SANNIPATA JWARA (VISFARAK)-4 ,SANNIPATA FEVER (VISFARAK)-4,Head & Face,MOUTH,DRYNESS,,
SANNIPATA JWARA (SAMMOHAK)-11,SANNIPATA FEVER (SAMMOHAK)-11,Head & Face,MOUTH,DRYNESS,,
Vata Jwara,Vata Fever,Skin & External Features,SKIN,DRYNESS,,
Vata Jwara,Vata Fever,Neck & Throat,THROAT,DRYNESS,,
VATA PITTA JWARA,VATA PITTA FEVER  ,Neck & Throat,THROAT,DRYNESS,,
SANNIPATA JWARA (VISFARAK)-4 ,SANNIPATA FEVER (VISFARAK)-4,Neck & Throat,THROAT,DRYNESS,,
Vata Jwara,Vata Fever,Body Waste & Excretions,URINE,DRYNESS,,
KAPHA JWARA,KAPHA FEVER ,General Systemic Symptoms,Altered Level of Consciousness,DROWSINESS,,
Purvarupa JWARA ,PRODROMAL FEVER ,General Systemic Symptoms,Altered Level of Consciousness,DROWSINESS,,
VATA KAPHA JWARA,VATA KAPHA FEVER  ,General Systemic Symptoms,Altered Level of Consciousness,DROWSINESS,,
